"","Trans B","Mat B","Mem B","PB","PC"
"Gm6123",0,0,0,0.00767922870380235,0.00108014512286542
"Mrpl15",0.766658237146097,0.886480726958143,0.890333760573202,0.768730585309974,0.715169825439458
"Lypla1",0.531807746779564,0.441094786532098,0.498460925613264,0.432266100916998,0.389265448842735
"Tcea1",2.90035870811504,2.07762115345055,2.11447801003981,1.7703174445427,1.70790986568803
"Atp6v1h",0.734273145781721,0.462188477487169,0.333409042493065,0.367032297932281,0.669879086889178
"Rb1cc1",0.781023332516486,0.472084011903381,0.560442471553346,0.612103615272057,0.557907741834055
"4732440D04Rik",0.0851893388328609,0.0616146829530303,0.168838903294525,0.00766057639288368,0.0578714179298347
"Gm37108",0.0132499303214331,0,0,0.00507086022836638,0.00273906986114813
"Pcmtd1",0.647012766110478,2.31068201425637,1.97874259008622,0.559362353832165,0.807940924220044
"Gm38372",0,0,0,0,0.0106824192487775
"Gm26901",0.00927076367630932,0,0,0.0323236765653428,0.0340867683410506
"Rrs1",0.567577691804416,0.4019377482121,0.179213549273224,0.321843632008013,0.206721706128847
"Mybl1",0,0.0329883637494139,0.0308201140938447,0.0116448392057678,0.00549659616059461
"Vcpip1",0.325502128649817,0.381850359943108,0.418747387180358,0.219565298887267,0.294401386422782
"1700034P13Rik",0,0.00589348449124379,0.0572056839743851,0,0.0171103466690958
"Sgk3",0.314854979802761,0.36406601977858,0.249764193193643,0.310124543747144,0.487566149847639
"Mcmdc2",0,0,0,0.00395401573568424,0.00530367472750694
"Snhg6",0.12825169744667,0.0796075079130322,0.129759844587846,0.103208701060869,0.0865291172972695
"Cops5",0.642598393928593,0.609596591961822,0.380470434169904,0.812012109562123,0.565986636093325
"Cspp1",0.564215464871537,0.232022792424767,0.297630933408817,0.268666713615686,0.241692081785883
"Arfgef1",0.215832577414468,0.21077083880856,0.464293950036157,0.0997013013499093,0.299673315866849
"Slco5a1",0.0204243830556774,0.019863659115804,0,0.00646083145917182,0.00603961275743433
"Ncoa2",0.14688009604851,0.131149747444747,0.121785762622485,0.22548933733834,0.272208815890958
"Gm38376",0,0.0154516870080944,0,0.00446312663840123,0.000646115799150006
"Gm38120",0,0,0,0.017104297345878,0.00531253118311955
"Gm38380",0,0.017758196553551,0.0164999282500285,0.0105691048164657,0.0182517107606788
"Tram1",3.90982220523863,0.973459604272722,0.94019258278824,5.67486805455223,8.62412287776415
"Lactb2",0.336956343684112,0.157331115411117,0.140604377608101,0.0600564215289519,0.119251454699698
"Eya1",0.196918958072466,0.111531867728308,0.173967369253151,0.0662372484549486,0.0872013543342338
"Msc",0,0,0.0081744716775355,0.0504669304681784,0.011161327801763
"Rpl5-ps1",0,0.00447064418728934,0,0,0.00396484249960449
"Terf1",0.294481582108445,0.369086388312125,0.30365114159844,0.370994086728488,0.3407757727207
"Rpl7",27.1349164380782,46.4489892736058,37.1328829670438,41.0907249356299,25.6662004300751
"Rdh10",0,0.0359581043320464,0.0215671111494808,0.00209999622499649,0.0104667025758344
"Stau2",0.148903339563087,0.116907773225683,0.411203829152241,0.0824269951577831,0.139935196784828
"Ube2w",0.854577562684352,0.741005264896076,0.843678643980301,0.402165460855022,0.537322511225404
"Eloc",1.36591771114786,1.55685082492632,1.53869496779635,2.90939663477207,2.12278786744168
"Tmem70",0.380905976439486,0.479070388623923,0.53845770183589,0.439351469465146,0.462241234672756
"Ly96",0.0249918880447895,0.302083969197557,0.292818322923939,0.387960200359641,0.558488387263318
"Gm5828",0,0,0.0214960304958419,0,0.00376705096929567
"Jph1",0,0.020793120477394,0.0263750238145797,0.0115647655081387,0.00119819560997785
"Mcm3",0.216733110557093,0.354132439702816,0.21949688686216,1.57562567717064,0.0945416189261322
"Paqr8",0,0.0240000897838679,0.0386130688424648,0,0.00257417683593229
"Tram2",0.121868140185596,0.0530129392632083,0.107796947419698,0.635727204417709,1.12832840121405
"Tmem14a",0,0.0194121635723055,0.0602371356060442,0.0126144289742558,0.00321254672649817
"Kcnq5",0.377434537614425,0.164400906520113,0.0425823809233481,0.197850578828754,0.197556440746225
"Gm7658",0.0319800327869546,0.0634180431035088,0.0326468809918356,0.0565461939530369,0.0240333063985161
"Gm38243",0,0.00922058481276839,0,0.00497108285276136,0.00684969135523716
"Ogfrl1",0.254837898630795,0.0744132463095299,0.283390296846748,0.133133311110365,0.129947607116744
"B3gat2",0.056773578617007,0,0,0,0.0131723595701201
"Smap1",1.03110938112023,1.064211105548,1.07869328468021,1.069497569741,1.54237269600189
"Sdhaf4",0.639390851719569,0.530161090493459,0.440507797848737,0.375702441787015,0.549400791950464
"Fam135a",0,0.0044341511186054,0.00784193524840945,0.00793808697191443,0.0242630672410256
"Tubb4b-ps2",0,0.0341178635724448,0,0.00716156674783646,0.00100199588039034
"Gm28438",0.372267935980161,0.158428062514133,0.239066345206969,0.627062007779135,0.291315530637215
"Gm28437",0.431360326149895,0.206812317536548,0.269377947976646,0.233444285644667,0.26250851713818
"Gm10925",0.058777653709846,0.0426665867451076,0.12087620565778,0.0443228542145705,0.0444692828246011
"Gm28661",0.32934319367391,0.192249876848557,0.0943373764584403,0.290644496302852,0.16417292384179
"Gm29216",0.0745928189481583,0.00822198051723405,0.0167485615723313,0.0219468762176868,0.0395613802738209
"Lmbrd1",0.968915981690205,1.09717653002036,1.09471803347395,0.546622087532209,1.02667149694412
"Gm7846",0,0.0296897668685499,0.00701900432859557,0.0833210140805148,0.018028854025846
"Phf3",1.00268401098015,0.754542070713429,0.961603006873345,0.731030298436417,0.941000330548856
"Gm37906",0,0.00319954268688597,0.00588581256533973,0,0.00650207697245864
"Ptp4a1-ENSMUSG00000117310",0.417243508613959,0.112121154723334,0.21067903179652,0.345539357353881,0.328899510376489
"Ptp4a1-ENSMUSG00000026064",0,0,0.0129030769032506,0.00506236696233419,0.0128271313278657
"Prim2",0.125928960365819,0.136692428440139,0.184522417718373,0.434845815679969,0.0929671870718919
"1700001G17Rik",0.0724907602612391,0.0239597904412779,0.0369296666945155,0.0142448734131315,0.0239689786185526
"Rab23",0,0.0284937977306799,0.044283783485335,0.0179379961280343,0.0389115437327813
"Bag2",0,0.0485815399477942,0.022393703938956,0.00723958153642888,0.00128899065848654
"Zfp451",0.0632034265625423,0.161286857206845,0.150530268080171,0.127011055836239,0.220789722974107
"Bend6",0,0.0139951452561536,0.121843038142821,0,0.0129540443668065
"Dst",0.00927076367630932,0.18457841842535,0.0801317304134013,0.0372498778483923,0.0521123508709054
"Gm26788",0,0.0181844202267061,0,0,0.000999533328637108
"Gm37233",0,0.0293426073668918,0,0,0.00933428538944061
"Ccdc115",0.739583920030005,0.495696297217496,0.594768895047362,0.299493346656783,0.537945310103689
"Imp4",0.587654094866636,0.563756537110769,0.430455163883046,0.601774621788486,0.553243979668323
"Ptpn18",3.86596122646903,7.02385228924796,6.77053427814975,2.71767190437249,4.11944331838924
"Gm28417",0.134194529939911,0.0725131114674462,0.153111255336883,0.00769362231498507,0.109963673910982
"4930568A12Rik",0.0381735460810435,0.0313252895568027,0.00844359416137947,0.0135972079330824,0.0228676979286668
"Arhgef4",0,0.0255439337058166,0.00990130664266091,0,0.0168935207708322
"Fam168b",0.617370857254334,0.402672468627414,0.328839226364527,0.378080013708656,0.345423916991927
"Plekhb2",0.0939736928363952,0.138159517435171,0.201485736683128,0.250560467473324,0.297305209396117
"Hs6st1",0.032282815005744,0.0345109455540335,0.00709939874749623,0.0337223073838034,0.0519059020747649
"Uggt1",0.377062121887428,0.277299245016263,0.193166508637707,0.426639790454526,0.657823119351547
"Neurl3",0.221612412066299,0.0158968772464742,0.062657951216461,0,0.00711913476293938
"Arid5a",0.904056950323502,0.550263061191191,0.879993494868222,0.209691564429344,0.407383479472124
"Kansl3",0.0665535617843356,0.311593690449741,0.225578990333749,0.0794378269340951,0.113553974029151
"Lman2l",0.45877636328683,0.347576978988549,0.361426649780457,0.225975213760982,0.488713088897548
"Cnnm4",0,0.0228187776255929,0.0252955803007,0.00343458218442246,0.0129324537492969
"Cnnm3",0.07161958844582,0.0379610873571972,0,0.00231390329596717,0.0457067079856377
"Ankrd39",0.0874398935293886,0.198542248722125,0.230693404466309,0.194905244279695,0.141077292604811
"Cox5b",5.61325543265585,5.23755326612964,4.74224588459367,12.2357349094598,9.47762612749121
"Actr1b",0.0906483349083283,0.189591091494473,0.292725100980637,0.253157021183574,0.294542024480376
"Zap70",0,0.0104568223554873,0.0155450503922412,0.00231390329596717,0
"Tmem131",0.296809021382029,0.481740456069937,0.72931895540054,0.094722294329939,0.163881877975549
"Gm38115",0.0394409091894616,0.00980611271592313,0.100123692268199,0,0.00217375010233396
"Inpp4a",0,0.104006216900708,0.0193484322348873,0.0404778275762829,0.0671354275709973
"Coa5",0.136004136225716,0.299181460935515,0.187228747449614,0.246306643759916,0.312768328894129
"Unc50",0.60526079614181,0.642073408426333,0.667371167193048,0.89248518220309,1.41336077053387
"Mgat4a",0.0266302149062379,0.132257261565678,0.170489639514998,0.0838040277757253,0.0805832968606994
"Tsga10",0.335614647294877,0.155937997987065,0.0397914307593521,0.0169060548235451,0.00451410005568252
"Lipt1",0.0213309314062728,0.0253864866316445,0.00709939874749623,0.0225139991424825,0.0301709278262368
"Mitd1",0.223600225632505,0.455668101893686,0.581420004718967,0.153332150264727,0.180835253975288
"Mrpl30",2.54183050633981,1.8648570689657,1.89461386921517,2.1973143160221,2.06914266707828
"Txndc9",1.06619672379527,1.07632443125678,0.939639828918068,1.09695902031529,0.954016003982852
"Eif5b",1.42658872711927,2.02183686536254,1.56199211093691,3.12863597469756,3.544700020765
"Rev1",0.248568957801535,0.128652874115154,0.237339146101977,0.173814006559908,0.110535414192968
"Gm5099",0,0,0,0.00411003909051864,0.00315782680463566
"Aff3",0.618218300755956,0.357103968946313,0.50777250449062,0.0729170309983743,0.0575573965315205
"Chst10",0.0192751409073888,0.228775101380841,0.844211874833996,0.0360801809867782,0.0826965193207182
"Pdcl3",0.779225145667586,0.605848625835255,0.561223201709707,0.412616512187231,0.511014494148387
"Rpl31",5.2321238462654,6.8818426670349,6.3296954582382,7.76233578779488,5.65113799487963
"Cnot11",0.209962806041325,0.148432812951361,0.159431552289844,0.16437057250796,0.201630589946833
"Rnf149",0,0.102226868592139,0.0360492004001744,0.0730172888124972,0.12564735654384
"Creg2",0,0,0,0.0295370606795288,0.043675055233815
"Map4k4",0.24651403082469,0.321504396947804,0.315668943923834,0.108740226521023,0.127791443537468
"Il1r2",0,0.115110032956445,0.117387663777342,0,0.0213103156495128
"Gm16894",0,0.0192687840109551,0.0419414558904279,0,0.0218944145984671
"Il1r1",0,0,0.0233038304735906,0,0
"Il18r1",0,0.0248504310381615,0.0225550083705179,0.00679808821524399,0.0955802769816296
"Il18rap",0,0,0,0,0.000645598566887827
"Mrps9",0.562994390121388,0.309076283078299,0.346035967206165,0.310082530202702,0.215645580092875
"Gpr45",0,0,0.0213643364359701,0,0.00126354845034332
"Tgfbrap1",0.0520131961065272,0.091041675493199,0.0866136500433624,0.0695322992091069,0.0798989983681423
"AI597479",0.0737972149470096,0.0488307799380193,0.084593705774132,0.0140407787489879,0.0341661303203029
"Nck2",0.0536329471107725,0,0,0.0179312144905759,0.0354631434223539
"Uxs1",0.0401170125375279,0.11842666907709,0.161258512061974,0.275106939152349,0.334060772274106
"Tpp2",0.664873002144336,0.547089405557345,0.60803673454248,0.647933955474511,0.660256590529927
"Gm8251",0,0.0107967303519392,0,0.018864169842096,0.0465587233091042
"Tex30",0.522880824441397,0.356075596188811,0.343870187359935,0.824903571913496,0.491188264518341
"Kdelc1",0,0.0313593814440219,0.0890130750333658,0.0764313367252106,0.0740230011634286
"Bivm",0,0.0134563113452415,0.0578407428888763,0.0144503951823074,0.0376091234763845
"Ercc5",0.130559928227054,0.156537139160078,0.100869730975289,0.116949371885441,0.0819853460736409
"Txn-ps1",0,0.00610131320750509,0,0.00342971173449489,0.0120495980858989
"Wdr75",0.24110981580818,0.432585710764667,0.404507883525436,0.310625989649024,0.263172831903558
"Slc40a1",0,0,0,0,0.00198628046605733
"Slc39a10",0.127831671230945,0.0941458141815509,0.0782355590712165,0.0114320096854629,0.0346064960779966
"Nabp1",0,0.0627878227504641,0.0778468008499642,0.0375358591540123,0.0581831853526649
"Stat4",0,0.0213979285037392,0.0948584522533008,0.053489035713104,0.0586398297730304
"Gm31812",0.0362432024060135,0,0.00492848950016406,0,0.00575918598458373
"Stat1",1.88257308796506,1.56700188896161,4.06999196103512,0.556630747274462,1.29235890377876
