"","IgA","IgE1","IgE2","IgG","IgM"
"Gm6123",0,0,0.00682718134647077,0,0.0021817750797694
"Mrpl15",0.787439828714319,0.761014527920538,0.755773419259839,1.08636548093913,0.690775968116403
"Lypla1",0.562087618352223,0.427591313772297,0.29430878364126,0.424253909101112,0.364541422286388
"Tcea1",1.79136135988048,1.63203601281199,2.08065046855157,1.68992781899428,2.35531474708053
"Atp6v1h",0.566761130896568,0.814800202763977,0.789447851040674,0.624416299407653,0.742536738116395
"Rb1cc1",0.595611028888265,0.518649218322616,0.618014688965288,0.63445238833996,0.767521378404688
"4732440D04Rik",0.0546703657474766,0.0623601170448724,0.019850814095796,0.082231459999368,0.10253844215337
"Gm37108",0,0.00569584008096473,0.00786840598565632,0,0
"Pcmtd1",0.82816529451157,0.805708001691414,0.812925948001626,1.21932804448831,1.10108815116052
"Gm38372",0.015768905391355,0.0117647575568566,0,0.0388308945406405,0
"Gm26901",0.0604904051449076,0.0200430408523781,0.0380415998580799,0.0338146928233119,0.0467819394126139
"Rrs1",0.254101536461197,0.220728969612126,0.249602675717875,0.205276279315991,0.203141731591675
"Mybl1",0.0177869764869693,0,0.0172232072344808,0,0.00224839883188173
"Vcpip1",0.298861864082164,0.282571611772347,0.375479219585952,0.369696802355016,0.361549523402044
"1700034P13Rik",0.017136619140765,0.00425192997782501,0,0.019411705326398,0.0539367708685537
"Sgk3",0.683972491790245,0.407385880906421,0.438336643790141,0.502167365976068,0.648300787115179
"Mcmdc2",0.020035357215571,0.00465634704515455,0,0,0
"Snhg6",0.0953749362239839,0.0870950824444129,0.0675894858020775,0.108946464331054,0.109771695362078
"Cops5",0.658140393528992,0.588828370238281,0.715286641115418,0.623673326666704,0.573496397525191
"Cspp1",0.309341369431178,0.222331595941549,0.229283416512827,0.232373712535532,0.334350794037196
"Arfgef1",0.302318355499396,0.40142160621423,0.230302025513935,0.197337310152474,0.31966995575086
"Slco5a1",0,0.0175554381965574,0,0,0
"Ncoa2",0.289963981133386,0.284492477896445,0.202275078369628,0.376088369283866,0.342883602823161
"Gm38376",0,0.00186477450451049,0,0,0
"Gm38120",0,0.0112522660726493,0,0,0.00684204422450618
"Gm38380",0.0100186120357667,0.0247695039756773,0.0189770211034194,0.0818194150853895,0
"Tram1",9.16942159457251,9.30921364550834,9.84564719335377,9.59254975684892,9.93849358974819
"Lactb2",0.0814135129244449,0.155660617039383,0.167475420900809,0.127597014676498,0.107840145217928
"Eya1",0.0692207103646378,0.0756037308140651,0.132152814990536,0.132958533311396,0.121558502994083
"Msc",0.0364505049174264,0.0092510993034147,0.0102482447621148,0,0
"Rpl5-ps1",0,0.00216059694814746,0.0249414590091136,0,0.00432864414009906
"Terf1",0.494227751448569,0.388861466570757,0.184105982228223,0.231658019920291,0.354190905462775
"Rpl7",27.6223248286429,18.0368153726894,49.6473117174071,22.0406365273648,38.5788757384174
"Rdh10",0.00698674421829358,0.0130703301610689,0.028609751266853,0.0153100055272688,0.0025461805211708
"Stau2",0.107394397987653,0.213148560307785,0.160883127785883,0.0591301886858009,0.109177144060807
"Ube2w",0.611103812266282,0.623118375561124,0.559454325742643,0.476276623894996,0.552973725446739
"Eloc",2.11728811616231,2.24070956874914,2.9428619187367,1.68169499443028,2.65205248296272
"Tmem70",0.478695068335085,0.592831085085407,0.486136982850803,0.331814339333065,0.458026258575698
"Ly96",0.288144928562652,0.62697218665319,0.779883635011421,0.716753550480292,0.757499131010204
"Gm5828",0,0.00208158088206143,0.0182550477944425,0.0153100055272688,0
"Jph1",0,0,0,0,0.0054811524174322
"Mcm3",0.0236362545637202,0.0662649051542439,0.14352053049775,0.0203464950066533,0.23976796088682
"Paqr8",0,0.00397706887893265,0,0,0.00575615610010168
"Tram2",1.53261468482138,1.20312958241311,0.914785724343659,1.34202238204611,1.12317489644099
"Tmem14a",0,0.00920011859833938,0,0,0
"Kcnq5",0.15040089563205,0.222145742169577,0.120195046746393,0.281659270965127,0.298696352412842
"Gm7658",0.0202930915878706,0.00905278421045218,0.0272946807558828,0.0139173613956957,0.0651984555850625
"Gm38243",0.00934650255015847,0.00413735697283589,0,0.0481219321766074,0
"Ogfrl1",0.191357300003896,0.143199044741565,0.191423285479547,0.191644141658249,0.0550862120095273
"B3gat2",0.0177869764869693,0.0181204215766364,0.0172350134120444,0.0193826023839832,0.00226146957591722
"Smap1",1.89964147869988,1.58699193206501,1.4951992456365,1.49602882322066,1.81081656151399
"Sdhaf4",0.75074510646336,0.581420553188319,0.509450037778726,0.56434846098859,0.567295305220254
"Fam135a",0.0333116806858389,0.0138455159723213,0.0432639191056479,0.0362136497490592,0.0280565885893366
"Tubb4b-ps2",0.00301683809226261,0,0.00435813440716557,0,0
"Gm28438",0.380735764535,0.270059557797001,0.318273453117592,0.290580251124884,0.371440835860299
"Gm28437",0.342251854047862,0.22841553245597,0.434168947042343,0.24070065580316,0.289839451384873
"Gm10925",0.0359289730282316,0.0322603778316139,0.0810530153457741,0.079155363584031,0.0612541303533373
"Gm28661",0.146033262617859,0.206010342506429,0.213361457615537,0.144224266644557,0.159800709136998
"Gm29216",0.0420678664966142,0.0257062622694831,0.0434017183346619,0.0220391228257321,0.0812074097772739
"Lmbrd1",0.764646639575663,0.922990891346065,1.0329543373485,1.2253686455014,1.81819313325823
"Gm7846",0.0233245477837497,0.0146412011274998,0.0424819784160592,0,0.0204539864468694
"Phf3",0.98483034775525,1.06640938487464,0.919653427555465,0.973035093658037,1.06055697016317
"Gm37906",0,0.00947809425887155,0,0.0410509633228984,0
"Ptp4a1-ENSMUSG00000117310",0.404584986544789,0.38941669987277,0.309296648140645,0.230186293859346,0.340365991217859
"Ptp4a1-ENSMUSG00000026064",0.0325953249951918,0.0119407463884421,0.00699717019393173,0,0.00812552203522383
"Prim2",0.125843959900888,0.0731862145035788,0.115091019858308,0.072139747341515,0.131836599834536
"1700001G17Rik",0.0349792648319589,0.0414164038666063,0,0.0166497481388405,0.00691181336808346
"Rab23",0.0584428655802748,0.0346715085386046,0.0835085852217594,0.0390440972506123,0.0230257702586098
"Bag2",0,0.00384155337666649,0,0,0
"Zfp451",0.155862661064878,0.299262506196816,0.180696067162087,0.264811074786378,0.245963075483277
"Bend6",0.0145567218534821,0.00503606398459145,0.00829700841312368,0.0140679051396078,0.0308185229692237
"Dst",0.0159156675417104,0.0194620334377389,0.0674823637292507,0.00815717458844653,0.251590031356382
"Gm26788",0,0.00295724768893037,0,0,0
"Gm37233",0.0160044684377144,0.00526857080988443,0.00933268099963604,0.0160419249952416,0.0118720598630704
"Ccdc115",0.682178986387325,0.508424602838312,0.57790385665548,0.652597207644548,0.607206399695495
"Imp4",0.575564562531903,0.56706500260034,0.430626709979248,0.818242916154734,0.663880934220456
"Ptpn18",4.67605582607453,4.89236596912543,3.90835301274578,4.71386951676243,3.92054691836804
"Gm28417",0.104489010310209,0.12039610793831,0.120961408418002,0.169689637833159,0.106882554118103
"4930568A12Rik",0.0166524322413333,0.0463007782013122,0.00935079210869216,0,0.0126969249175627
"Arhgef4",0.0364243179609401,0.0131699107370702,0.0344566115379243,0,0.0103781896416105
"Fam168b",0.50872460535446,0.364233519944805,0.443187227885827,0.273449986657523,0.27622509712861
"Plekhb2",0.281920894993391,0.33861518831666,0.455841769632794,0.32101292557014,0.277961868063723
"Hs6st1",0.0623758979558057,0.0544483240666039,0.0459834821095579,0.0228207555409162,0.076308668908641
"Uggt1",0.577728888834304,0.740792317100619,0.838255338384362,0.654072459731418,0.783718871779862
"Neurl3",0,0.0163225502742693,0.0147376883375578,0,0
"Arid5a",0.413007134115147,0.443677198961131,0.355787703830814,0.466102731687516,0.542582367186423
"Kansl3",0.134136892296619,0.131804148750302,0.103649012722694,0.0818434371780401,0.125815309291476
"Lman2l",0.434206923197715,0.646125979490156,0.345707177996055,0.720643719918805,0.427835501143363
"Cnnm4",0.0205757427698443,0.0205308839816456,0.00435813440716557,0.0178804667755887,0
"Cnnm3",0.0891456931944672,0.0403267120859533,0.0678231683659935,0.0150936393034765,0.0364374424734315
"Ankrd39",0.118462352959088,0.163861757111055,0.196617141398986,0.22487059299106,0.114339510638385
"Cox5b",11.1412634610753,9.7260551182302,12.4467209388683,10.7743860950414,9.77095453598079
"Actr1b",0.273220065392738,0.356806600074229,0.328146944419279,0.377348411247784,0.298318193104144
"Zap70",0,0,0,0,0
"Tmem131",0.203219364255283,0.153895684436871,0.241844210831702,0.163155415604158,0.200867156036376
"Gm38115",0,0.00270670182174743,0,0.0167958264095528,0
"Inpp4a",0.0256279259912165,0.0150035162371499,0,0.0348450950555607,0.420812533737534
"Coa5",0.359294027842841,0.366396096952915,0.396059604496952,0.257012118046275,0.29411065165444
"Unc50",1.53488754619835,1.60637919246308,1.3198533911022,1.57759608032755,1.51867252198519
"Mgat4a",0.0888726129535565,0.0846107800392853,0.0332741448560024,0.0883859776372779,0.123727608109376
"Tsga10",0,0.00358168448589019,0.0153471194603701,0,0.0091166621257824
"Lipt1",0.0455683444168597,0.0203540007819516,0,0.0205385600024499,0.0620244576114387
"Mitd1",0.138191990007996,0.211966695270371,0.193146985715012,0.301124278571138,0.183100513447106
"Mrpl30",2.38720453386116,2.3364997378459,2.53366434590582,2.17103331544931,1.92060103492933
"Txndc9",0.955699768883685,0.91930716964758,1.04725062091268,1.2387461850528,1.23504133096539
"Eif5b",3.98822955641742,3.64470766148429,4.31288243225778,4.64481771263006,3.7945914504875
"Rev1",0.111385908058478,0.1194356353023,0.107014060530541,0.114701063761906,0.139361845423023
"Gm5099",0,0,0,0.0190722932063668,0.0080736586300252
"Aff3",0.0370181902329176,0.078544704846138,0.0309063569870091,0.0686659593932127,0.0897543515852112
"Chst10",0.0713722912215336,0.0705360676405653,0.174609252864171,0.120144956163356,0.0857899508861576
"Pdcl3",0.562459163703539,0.551146406963485,0.631278376804301,0.657104745539462,0.468076803676952
"Rpl31",6.19479843509021,5.24839763444388,8.67621918504628,6.01077325150732,6.73128003268239
"Cnot11",0.20364897299313,0.238270441390841,0.258662520126398,0.295269716482402,0.150525667920558
"Rnf149",0.0625859057560894,0.138464486248677,0.164678893216138,0.193125703247577,0.16862614180525
"Creg2",0.0406977160801388,0.0720008149960474,0,0,0.0643906031102933
"Map4k4",0.215369802589386,0.132408136968545,0.0776118591172895,0.0621513597438629,0.137945782530779
"Il1r2",0.00954452217188637,0.0205347718188787,0.016714696856879,0.0992707546558932,0.0138739850398153
"Gm16894",0.00778872727174691,0.0281928055521529,0.0476042953540222,0.0400137437897554,0.0135778365315972
"Il1r1",0,0,0,0,0
